test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,orb,1304,1335,0.06,1
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,superpoint_lightglue,1780,1781,0.02,1
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,orb,1028,1036,0.07,1
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,superpoint_lightglue,1508,1508,0.02,1
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,orb,726,736,0.11,1
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,superpoint_lightglue,1243,1243,0.03,1
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,orb,472,479,0.20,1
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,superpoint_lightglue,988,990,0.03,1
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,orb,1350,1371,0.13,1
spatial_overlap,severodonetsk.jpg,dx0_dy64,0,64,superpoint_lightglue,1769,1770,0.02,1
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,orb,962,1080,0.40,1
spatial_overlap,severodonetsk.jpg,dx0_dy128,0,128,superpoint_lightglue,1531,1531,0.02,1
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,orb,575,580,0.10,1
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,superpoint_lightglue,1006,1006,0.06,1
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,orb,1031,1049,0.19,1
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,superpoint_lightglue,1537,1539,0.04,1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,orb,587,604,0.53,1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,superpoint_lightglue,1143,1143,0.09,1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,orb,334,342,0.49,1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,superpoint_lightglue,774,774,0.14,1
