test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success
spatial_overlap,kharkiv_urban.jpg,dx64_dy0,64,0,superpoint_lightglue,1762,1762,0.03,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,orb,956,1090,0.44,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy0,128,0,superpoint_lightglue,1519,1519,0.05,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,orb,833,860,0.18,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy0,192,0,superpoint_lightglue,1314,1314,0.05,1
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,orb,639,654,0.27,1
spatial_overlap,kharkiv_urban.jpg,dx256_dy0,256,0,superpoint_lightglue,1089,1089,0.02,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,orb,1244,1378,0.35,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy64,0,64,superpoint_lightglue,1786,1786,0.01,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,orb,1136,1157,0.21,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy128,0,128,superpoint_lightglue,1521,1522,0.01,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,orb,563,638,0.91,1
spatial_overlap,kharkiv_urban.jpg,dx0_dy256,0,256,superpoint_lightglue,976,977,0.05,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,orb,918,1048,0.81,1
spatial_overlap,kharkiv_urban.jpg,dx64_dy64,64,64,superpoint_lightglue,1554,1555,0.03,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,orb,765,791,0.33,1
spatial_overlap,kharkiv_urban.jpg,dx128_dy128,128,128,superpoint_lightglue,1106,1107,0.04,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,orb,450,488,0.68,1
spatial_overlap,kharkiv_urban.jpg,dx192_dy192,192,192,superpoint_lightglue,803,804,0.06,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,orb,1537,1558,0.21,1
spatial_overlap,kramatorsk_mixed.jpg,dx32_dy0,32,0,superpoint_lightglue,1929,1929,0.03,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,orb,1330,1353,0.16,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy0,64,0,superpoint_lightglue,1840,1840,0.03,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,orb,751,792,0.18,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy0,128,0,superpoint_lightglue,1601,1601,0.04,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,orb,548,562,0.14,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy0,192,0,superpoint_lightglue,1303,1303,0.03,1
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,orb,355,372,0.34,1
spatial_overlap,kramatorsk_mixed.jpg,dx256_dy0,256,0,superpoint_lightglue,1030,1030,0.07,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,orb,1413,1455,0.15,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,superpoint_lightglue,1748,1749,0.02,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,orb,1147,1212,0.22,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,superpoint_lightglue,1485,1485,0.04,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,orb,515,656,1.01,1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,superpoint_lightglue,944,946,0.06,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,orb,1019,1043,0.24,1
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,superpoint_lightglue,1570,1571,0.07,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,orb,405,415,0.46,1
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,superpoint_lightglue,1146,1148,0.12,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,orb,236,244,0.69,1
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,superpoint_lightglue,745,745,0.16,1
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,orb,1349,1349,0.00,1
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,superpoint_lightglue,1656,1656,0.00,1
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,orb,941,943,0.12,1
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,superpoint_lightglue,1566,1566,0.01,1
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,orb,905,911,0.06,1
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,superpoint_lightglue,1476,1477,0.01,1
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,orb,776,802,0.28,1
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,superpoint_lightglue,1298,1298,0.03,1
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,orb,548,549,0.26,1
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,superpoint_lightglue,1008,1008,0.03,1
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,orb,299,303,0.61,1
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,superpoint_lightglue,789,789,0.03,1
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,orb,907,912,0.11,1
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,superpoint_lightglue,1368,1368,0.02,1
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,orb,842,844,0.11,1
spatial_overlap,oskil_river.jpg,dx0_dy128,0,128,superpoint_lightglue,1129,1129,0.02,1
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,orb,330,342,0.60,1
spatial_overlap,oskil_river.jpg,dx0_dy256,0,256,superpoint_lightglue,642,642,0.05,1
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,orb,669,748,0.24,1
spatial_overlap,oskil_river.jpg,dx64_dy64,64,64,superpoint_lightglue,1199,1200,0.03,1
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,orb,565,567,0.14,1
spatial_overlap,oskil_river.jpg,dx128_dy128,128,128,superpoint_lightglue,870,873,0.03,1
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,orb,286,287,0.79,1
spatial_overlap,oskil_river.jpg,dx192_dy192,192,192,superpoint_lightglue,534,538,0.05,1
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1
spatial_overlap,severodonetsk.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,orb,1361,1470,0.28,1
spatial_overlap,severodonetsk.jpg,dx32_dy0,32,0,superpoint_lightglue,1893,1894,0.03,1
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,orb,1217,1326,0.19,1
spatial_overlap,severodonetsk.jpg,dx64_dy0,64,0,superpoint_lightglue,1781,1782,0.01,1
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,orb,975,1008,0.14,1
spatial_overlap,severodonetsk.jpg,dx128_dy0,128,0,superpoint_lightglue,1549,1550,0.04,1
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,orb,714,728,0.15,1
spatial_overlap,severodonetsk.jpg,dx192_dy0,192,0,superpoint_lightglue,1303,1304,0.05,1
spatial_overlap,severodonetsk.jpg,dx256_dy0,256,0,orb,497,567,0.59,1
