test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success,inference_ms
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,orb,1284,1328,0.11,1,19.4
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,superpoint_lightglue,1584,1584,0.03,1,2812.5
spatial_overlap,izyum_fields.jpg,dx64_dy0,64,0,xfeat,3399,3428,0.00,1,113.9
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,orb,966,1087,0.89,1,19.6
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,superpoint_lightglue,1320,1321,0.05,1,2852.6
spatial_overlap,izyum_fields.jpg,dx128_dy0,128,0,xfeat,2760,2798,0.00,1,113.4
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,orb,791,827,0.29,1,19.5
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,superpoint_lightglue,1094,1094,0.04,1,2826.4
spatial_overlap,izyum_fields.jpg,dx192_dy0,192,0,xfeat,2083,2199,0.02,1,113.3
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,orb,465,500,1.05,1,19.2
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,superpoint_lightglue,847,847,0.11,1,2816.4
spatial_overlap,izyum_fields.jpg,dx256_dy0,256,0,xfeat,1582,1791,0.03,1,111.2
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,orb,1126,1155,0.25,1,19.0
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,superpoint_lightglue,1608,1608,0.03,1,2914.4
spatial_overlap,izyum_fields.jpg,dx0_dy64,0,64,xfeat,3336,3354,0.01,1,114.5
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,orb,616,654,0.29,1,18.4
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,superpoint_lightglue,1336,1336,0.02,1,2901.8
spatial_overlap,izyum_fields.jpg,dx0_dy128,0,128,xfeat,2739,2790,0.02,1,122.0
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,orb,207,215,0.55,1,18.4
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,superpoint_lightglue,853,854,0.05,1,2912.8
spatial_overlap,izyum_fields.jpg,dx0_dy256,0,256,xfeat,1707,1898,0.04,1,112.7
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,orb,896,982,0.36,1,19.9
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,superpoint_lightglue,1357,1357,0.03,1,2830.6
spatial_overlap,izyum_fields.jpg,dx64_dy64,64,64,xfeat,2794,2877,0.01,1,121.2
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,orb,462,477,1.14,1,18.0
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,superpoint_lightglue,937,937,0.08,1,2883.5
spatial_overlap,izyum_fields.jpg,dx128_dy128,128,128,xfeat,1749,1988,0.04,1,111.6
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,orb,142,190,1.32,1,18.8
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,superpoint_lightglue,678,679,0.08,1,2849.9
spatial_overlap,izyum_fields.jpg,dx192_dy192,192,192,xfeat,1012,1486,0.04,1,111.9
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,orb,2000,2000,0.00,1,24.8
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1,2896.6
spatial_overlap,kharkiv_urban.jpg,dx0_dy0,0,0,xfeat,4096,4096,0.00,1,112.2
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,orb,1435,1463,0.09,1,24.3
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,superpoint_lightglue,1901,1901,0.02,1,2923.1
spatial_overlap,kharkiv_urban.jpg,dx32_dy0,32,0,xfeat,3722,3734,0.00,1,139.0
